id,title,artist,rights,genre,Department,tags,notes,caption,object_name
436472,Portrait of a Man in Profile,Italian Painter,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on wood; 13 1/4 x 10 1/2 in. (33.7 x 26.7 cm); Unknown; European Paintings; Portrait of a Man in Profile is a Unknown Painting by the Unknown artist Italian Painter. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring 13 1/4 x 10 1/2 in. (33.7 x 26.7 cm), the work is classified as Paintings .",a painting of a man wearing a hat,man
436498,The Man of Sorrows,Michele Giambono (Michele Giovanni Bono),CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Tempera and gold on wood; Overall, with engaged frame, 21 3/4 x 15 3/4 in. (54.9 x 38.7 cm); painted surface 18 1/2 x 12 1/4 in. (47 x 31.1 cm); ca. 1430; European Paintings; The Man of Sorrows is a Unknown Painting by the Unknown artist Michele Giambono (Michele Giovanni Bono). This piece, part of the European Paintings collection, is crafted using Tempera and gold on wood. Measuring Overall, with engaged frame, 21 3/4 x 15 3/4 in. (54.9 x 38.7 cm); painted surface 18 1/2 x 12 1/4 in. (47 x 31.1 cm), the work is classified as Paintings and was created in ca. 1430.",a painting of a man with a cross on his chest,man
436521,Portrait of a Man,Hugo van der Goes,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on wood; Oval, overall 12 1/2 x 10 1/2 in. (31.8 x 26.7 cm); painted surface 12 1/2 x 10 1/4 in. (31.8 x 26 cm); ca. 1475; European Paintings; Portrait of a Man is a Unknown Painting by the Unknown artist Hugo van der Goes. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring Oval, overall 12 1/2 x 10 1/2 in. (31.8 x 26.7 cm); painted surface 12 1/2 x 10 1/4 in. (31.8 x 26 cm), the work is classified as Paintings and was created in ca. 1475.",a painting of a man with a black hat,man
436522,A Benedictine Monk,Hugo van der Goes,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on wood; Overall 9 7/8 x 7 3/8 in. (25.1 x 18.7 cm), with added strip of 3/4 in. (1.9 cm) at right; Unknown; European Paintings; A Benedictine Monk is a Unknown Painting by the Unknown artist Hugo van der Goes. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring Overall 9 7/8 x 7 3/8 in. (25.1 x 18.7 cm), with added strip of 3/4 in. (1.9 cm) at right, the work is classified as Paintings .",a painting of a man in a black coat,man
436529,"L'Arlésienne: Madame Joseph-Michel Ginoux (Marie Julien, 1848–1911)",Vincent van Gogh,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 36 × 29 in. (91.4 × 73.7 cm); 1888–89; European Paintings; L'Arlésienne: Madame Joseph-Michel Ginoux (Marie Julien, 1848–1911) is a Unknown Painting by the Unknown artist Vincent van Gogh. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 36 × 29 in. (91.4 × 73.7 cm)
, the work is classified as Paintings and was created in 1888–89.",a painting of a woman sitting at a table,woman
436530,Oleanders,Vincent van Gogh,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 23 3/4 x 29 in. (60.3 x 73.7 cm); 1888; European Paintings; Oleanders is a Unknown Painting by the Unknown artist Vincent van Gogh. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 23 3/4 x 29 in. (60.3 x 73.7 cm), the work is classified as Paintings and was created in 1888.",a painting of a vase of flowers on a table,vase
436532,Self-Portrait with a Straw Hat (obverse: The Potato Peeler),Vincent van Gogh,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 16 x 12 1/2 in. (40.6 x 31.8 cm); 1887; European Paintings; Self-Portrait with a Straw Hat (obverse: The Potato Peeler) is a Unknown Painting by the Unknown artist Vincent van Gogh. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 16 x 12 1/2 in. (40.6 x 31.8 cm), the work is classified as Paintings and was created in 1887.",vincent van gogh van gogh van gogh van gogh van gogh van gogh van gogh van gogh van gogh van gogh,vincent
436534,Roses,Vincent van Gogh,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 36 5/8 x 29 1/8 in. (93 x 74 cm); 1890; European Paintings; Roses is a Unknown Painting by the Unknown artist Vincent van Gogh. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 36 5/8 x 29 1/8 in. (93 x 74 cm), the work is classified as Paintings and was created in 1890.",a painting of a vase of white flowers,vase
436538,Portrait of a Man,Jan Gossart (called Mabuse),CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on wood; 18 1/2 x 13 3/4 in. (47 x 34.9 cm); ca. 1520–25; European Paintings; Portrait of a Man is a Unknown Painting by the Unknown artist Jan Gossart (called Mabuse). This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring 18 1/2 x 13 3/4 in. (47 x 34.9 cm), the work is classified as Paintings and was created in ca. 1520–25.",a painting of a man in a black hat,man
436539,Virgin and Child,Jan Gossart (called Mabuse),CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on wood; Overall 17 7/8 x 13 5/8 in. (45.4 x 34.6 cm); painted surface 17 1/4 x 13 in. (43.8 x 33 cm); Unknown; European Paintings; Virgin and Child is a Unknown Painting by the Unknown artist Jan Gossart (called Mabuse). This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring Overall 17 7/8 x 13 5/8 in. (45.4 x 34.6 cm); painted surface 17 1/4 x 13 in. (43.8 x 33 cm), the work is classified as Paintings .",a painting of a woman holding a baby,woman
