id,title,artist,rights,genre,Department,tags,notes,caption,object_name
435573,Flora and Zephyr,Jacopo Amigoni,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 84 x 58 in. (213.4 x 147.3 cm); 1730s; European Paintings; Flora and Zephyr is a Unknown Painting by the Unknown artist Jacopo Amigoni. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 84 x 58 in. (213.4 x 147.3 cm), the work is classified as Paintings and was created in 1730s.", a woman and two children,woman
435580,Christ Crowned with Thorns,Antonello da Messina (Antonello di Giovanni d'Antonio),CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil, possibly over tempera, on wood; 16 3/4 x 12 in. (42.5 x 30.5 cm); Unknown; European Paintings; Christ Crowned with Thorns is a Unknown Painting by the Unknown artist Antonello da Messina (Antonello di Giovanni d'Antonio). This piece, part of the European Paintings collection, is crafted using Oil, possibly over tempera, on wood. Measuring 16 3/4 x 12 in. (42.5 x 30.5 cm), the work is classified as Paintings .", a man with a crown on his head,man
435581,Portrait of a Young Man,Antonello da Messina (Antonello di Giovanni d'Antonio),CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on wood; 10 5/8 x 8 1/8 in. (27 x 20.6 cm); ca. 1470; European Paintings; Portrait of a Young Man is a Unknown Painting by the Unknown artist Antonello da Messina (Antonello di Giovanni d'Antonio). This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring 10 5/8 x 8 1/8 in. (27 x 20.6 cm), the work is classified as Paintings and was created in ca. 1470.", a man with a hat,man
435585,Portrait of a Married Couple (Lorenz Kraffter and Honesta Merz?),Ulrich Apt the Elder,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on linden; 13 x 24 7/8 in. (33 x 63.2 cm); 1512; European Paintings; Portrait of a Married Couple (Lorenz Kraffter and Honesta Merz?) is a Unknown Painting by the Unknown artist Ulrich Apt the Elder. This piece, part of the European Paintings collection, is crafted using Oil on linden. Measuring 13 x 24 7/8 in. (33 x 63.2 cm), the work is classified as Paintings and was created in 1512.", a woman and a man,woman
435595,Madonna and Child,Bachiacca (Francesco d'Ubertino Verdi),CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil and gold on wood; 34 1/4 x 26 1/2 in. (87 x 67.3 cm); possibly early 1520s; European Paintings; Madonna and Child is a Unknown Painting by the Unknown artist Bachiacca (Francesco d'Ubertino Verdi). This piece, part of the European Paintings collection, is crafted using Oil and gold on wood. Measuring 34 1/4 x 26 1/2 in. (87 x 67.3 cm), the work is classified as Paintings and was created in possibly early 1520s.", a woman holding a baby,woman
435596,Old Woman in an Armchair,Jacob Backer,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 50 3/8 x 39 1/8 in. (128 x 99.4 cm); Unknown; European Paintings; Old Woman in an Armchair is a Unknown Painting by the Unknown artist Jacob Backer. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 50 3/8 x 39 1/8 in. (128 x 99.4 cm), the work is classified as Paintings .", a woman in a black dress,woman
435597,Portrait of an Old Woman,Jacob Backer,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on wood; 28 x 24 in. (71.1 x 61 cm); Unknown; European Paintings; Portrait of an Old Woman is a Unknown Painting by the Unknown artist Jacob Backer. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring 28 x 24 in. (71.1 x 61 cm), the work is classified as Paintings .", an older woman with a white collar,woman
435598,"Portrait of a Man, Possibly a Botanist",David Bailly,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on wood; 33 x 24 1/2 in. (83.8 x 62.2 cm); 1641; European Paintings; Portrait of a Man, Possibly a Botanist is a Unknown Painting by the Unknown artist David Bailly. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring 33 x 24 1/2 in. (83.8 x 62.2 cm), the work is classified as Paintings and was created in 1641.", a man with a beard and a book,man
435599,Boatmen of Barcelona,Dionisio Baixeras y Verdaguer,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 59 x 83 in. (149.9 x 210.8 cm); 1886; European Paintings; Boatmen of Barcelona is a Unknown Painting by the Unknown artist Dionisio Baixeras y Verdaguer. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 59 x 83 in. (149.9 x 210.8 cm), the work is classified as Paintings and was created in 1886.",two men on a boat in the water,man
435603,A Footman Sleeping,Charles Bargue,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on wood; 13 3/4 x 10 1/4 in. (34.9 x 26 cm); 1871; European Paintings; A Footman Sleeping is a Unknown Painting by the Unknown artist Charles Bargue. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring 13 3/4 x 10 1/4 in. (34.9 x 26 cm), the work is classified as Paintings and was created in 1871.", a man sitting on a chair,man
